aller;245;940
voir;408;686
suisse;228;493
gens;198;483
monde;103;481
parler;344;227
comprendre;253;274
penser;153;347
chose;130;383
commentaire;292;147
pays;111;288
mettre;119;292
passer;94;307
donner;156;232
prendre;173;223
vraiment;96;296
temps;107;273
emji_visage_riant_aux_larmes;130;101
question;237;107
problème;165;168
vrai;176;149
vivre;70;230
enfant;30;240
trouver;96;198
fois;74;209
sentir;115;169
police;51;203
sujet;219;61
venir;105;179
politique;202;75
connaître;163;112
vie;60;202
rester;83;176
droite;208;36
cas;92;163
lire;186;62
gauche;188;56
arrêter;70;171
humain;58;172
genre;123;114
rts;193;36
laisser;49;180
seul;90;137
jour;35;179
changer;34;187
grand;66;158
plutôt;107;105
article;182;23
raison;61;142
aimer;55;147
tellement;38;159
arriver;57;143
petit;45;152
france;53;139
demander;76;117
ca;32;152
idée;86;108
partir;114;73
importer;68;122
moment;42;148
droit;108;64
compte;115;70
faux;158;22
histoire;92;89
société;102;75
montrer;102;75
besoin;29;150
sûr;72;109
regarder;64;112
devenir;66;114
écrire;121;46
travail;46;123
emji_visage_faisant_un_clin_d_oeil;67;95
sortir;42;129
réalité;109;61
extrême;140;20
français;81;78
accord;88;68
lieu;52;108
place;41;118
espérer;31;129
beau;25;130
rendre;65;93
côté;35;120
part;69;83
avis;74;77
argument;103;49
essayer;37;111
année;46;97
femme;40;91
premier;68;76
justement;79;63
jeune;38;99
commencer;45;98
utiliser;106;28
social;88;53
situation;54;89
exister;76;63
coup;83;57
aider;26;110
exemple;66;67
répondre;107;27
finir;12;127
attendre;61;79
perdre;44;91
violence;68;58
manquer;57;77
niveau;71;57
rapport;100;27
triste;14;111
peuple;54;70
réponse;99;27
emji_visage_qui_pleure;16;77
état;52;72
ouvrir;39;84
cause;71;54
servir;30;93
poser;87;38
permettre;60;62
loi;57;58
mauvais;56;60
manière;73;48
ia;85;28
voter;68;50
malheureusement;23;98
liberté;80;32
fin;32;86
appeler;37;76
vidéo;73;36
terme;69;42
partie;67;47
propos;95;20
chercher;36;80
continuer;38;75
apprendre;39;68
etc;50;50
étude;86;18
trump;69;34
expliquer;76;34
source;86;16
animal;18;84
étranger;61;43
info;84;22
entendre;39;67
agir;48;59
policier;35;66
important;36;71
exactement;78;31
dernier;46;61
mot;46;55
famille;16;90
absolument;59;49
propre;44;60
population;38;67
façon;33;71
simplement;71;34
oeil;13;91
fait;92;7
réfléchir;32;71
peur;25;75
udc;82;13
pire;14;74
défendre;53;46
sembler;58;42
raciste;81;17
oublier;42;57
débat;58;40
suivre;60;35
initiative;50;45
clairement;57;40
tête;14;81
nouveau;33;61
média;80;12
respect;19;76
écouter;45;47
meilleur;26;65
jouer;24;65
gros;31;61
preuve;56;34
information;70;17
travailler;19;65
système;44;42
suffire;54;37
intérêt;55;26
emji_visage_en_pleine_réflexion;36;37
réseau;59;29
pareil;28;63
long;23;65
fou;22;68
choix;37;49
blanc;43;40
marcher;17;72
journée;18;68
choisir;33;52
facile;30;57
truc;18;68
image;60;25
franchement;7;80
public;56;28
argent;27;52
justice;20;63
culture;49;29
contraire;51;34
vérité;41;36
remettre;28;54
discours;52;31
ville;16;57
valoir;20;62
valeur;44;38
souhaiter;17;63
opinion;66;17
plaindre;26;55
peine;19;61
citoyen;19;59
bref;37;45
réel;63;16
meme;11;66
foutre;8;71
faute;26;54
simple;35;45
uniquement;33;46
tenir;36;42
retrouver;11;65
prochain;13;65
démocratie;59;13
solution;22;51
préférer;21;56
libre;18;59
heure;14;60
soutenir;46;30
imaginer;28;47
europe;17;57
envie;10;65
armée;21;53
protéger;24;46
post;56;16
moyen;25;50
racisme;48;21
porte;26;46
message;45;27
face;34;36
concerner;41;30
tomber;19;52
sérieux;42;31
emji_applaudissements;19;26
décision;28;43
titre;44;26
pauvre;16;55
partager;25;47
haine;47;21
totalement;44;27
renseigner;33;37
humanité;12;54
type;46;23
possible;20;50
plaisir;7;63
heureusement;12;57
livre;38;26
intéressant;51;18
difficile;34;34
aide;8;59
éviter;35;33
traiter;34;30
rappeler;31;36
personnel;30;36
payer;21;43
haut;24;43
mesure;42;23
manifestation;15;49
homme;22;40
gouvernement;15;49
base;55;12
bas;10;56
scientifique;60;2
guerre;11;47
doute;28;36
critique;53;11
corps;10;48
sauver;2;62
rue;7;58
mériter;20;44
créer;28;36
super;12;47
normal;21;41
garder;9;51
emji_se_rouler_par_terre_de_rire;21;13
clair;25;39
vote;46;12
service;14;43
expression;57;4
coeur;10;51
entier;17;45
critiquer;39;23
photo;43;16
manger;6;44
fermer;10;49
bout;7;54
évidemment;36;24
svp;43;16
statistique;55;4
impression;29;31
effet;35;23
déranger;20;39
cours;41;18
époque;30;28
sécurité;19;39
responsabilité;25;34
paix;6;47
esprit;29;30
école;25;31
terre;3;52
résultat;22;33
respecter;21;35
parent;13;42
majorité;36;21
intéresser;34;24
grave;31;27
fonctionner;42;15
effectivement;37;21
air;20;37
sûrement;11;44
lien;37;20
exprimer;35;17
différent;27;29
but;24;31
ami;18;36
seulement;37;19
juger;26;28
fond;31;25
complètement;38;18
accepter;15;38
souci;19;36
responsable;13;38
prouver;26;26
phrase;46;8
nouvelle;13;40
métier;17;35
empêcher;19;34
emji_visage_souriant_avec_une_goutte_de_sueur;23;28
chiffre;42;8
apporter;41;13
riche;27;23
représenter;42;10
occuper;8;45
immigration;38;12
genève;5;47
forme;34;18
envoyer;5;49
également;34;19
âge;17;34
semaine;11;40
risque;28;23
relever;39;13
interdire;15;34
décider;10;42
dangereux;22;28
