"";"X.rts_a";"X.rts_i"
"venir";2,84;2,67
"organiser";0,14;0,3
"emji_visage_avec_un_sourire_malin";0,36;0,26
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";8,27;1,01
"emji_visage_riant_aux_larmes";37,5;13,6
"drogue";0,13;0,35
"voir";9,38;8,61
"tête";1,49;0,62
"poser";0,92;0,72
"question";1,99;2,18
"lancer";0,16;0,28
"truc";0,91;0,6
"penser";4,03;3,59
"parler";5,49;5,93
"aller";7,94;11,57
"danser";0,24;0,04
"24h";0,03;0,05
"stop";0,16;0,2
"emji_visage_grimaçant";0,38;0,12
"nouveau";0,57;1,13
"marathon";0,06;0,04
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";1,17;0,16
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";0,41;0,17
"alcool";0,18;0,2
"nourriture";0,33;0,23
"eau";0,91;0,72
"couleur";0,43;0,19
"cas";1,43;2,3
"archive";1,39;0,01
"absolument";0,6;0,74
"magnifique";2,38;0,51
"reconnaître";0,65;0,7
"emji_visage_souriant_avec_une_goutte_de_sueur";3,53;1,26
"talent";0,15;0,12
"changer";3,11;1,69
"emji_visage_faisant_un_clin_d_oeil";2,86;1,12
"idée";0,9;1,34
"super";1,31;0,77
"sentir";1,82;1,92
"nostalgique";0,17;0,02
"coup";1,53;1,48
"fin";1,31;1,02
"enfant";5,2;4
"tiktok";0,15;0,06
"époque";8,12;0,53
"style";0,32;0,17
"contrairement";0,18;0,29
"mettre";2,73;3,87
"musique";0,44;0,19
"ami";1,05;0,55
"rassurer";0,17;0,13
"petit";4,73;2,17
"comprendre";3,77;3,58
"acquérir";0,06;0,08
"spécial";0,17;0,11
"emji_visage_avec_lunettes_de_soleil";0,35;0,08
"afficher";0,02;0,03
"remettre";0,5;0,57
"système";0,42;1,37
"plutôt";1,22;1,6
"juger";0,29;0,32
"terme";0,51;0,78
"sexiste";0,06;0,05
"sortir";1,05;1,26
"boss";0,02;0,04
