"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"11";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1327";"38138";"3.48";"****";""
" 0";" 563";"0.00";"-21.80";"emji_coeur_rouge emji_coeur_rouge";"3.028947e-06"
"71";"3167";"2.24";"-19.51";"emji_visage_riant_aux_larmes emji_visage_riant_aux_larmes";"9.984069e-06"
" 1";" 553";"0.18";"-19.38";"emji_applaudissements emji_applaudissements";"1.070421e-05"
" 4";" 691";"0.58";"-19.09";"l époque";"1.249016e-05"
" 0";" 303";"0.00";"-11.73";"emji_coeur_rouge emji_coeur_rouge emji_coeur_rouge";"6.164766e-04"
" 0";" 282";"0.00";"-10.91";"emji_applaudissements emji_applaudissements emji_applaudissements";"9.552030e-04"
" 5";" 511";"0.98";"-10.75";"n a";"1.041790e-03"
" 2";" 366";"0.55";"-10.31";"elle a";"1.321181e-03"
" 2";" 363";"0.55";"-10.20";"à l époque";"1.405131e-03"
" 3";" 389";"0.77";" -9.47";"emji_visage_souriant_avec_yeux_en_forme_de_coeur emji_visage_souriant_avec_yeux_en_forme_de_coeur";"2.094044e-03"
"38";"1646";"2.31";" -9.22";"emji_visage_riant_aux_larmes emji_visage_riant_aux_larmes emji_visage_riant_aux_larmes";"2.391896e-03"
" 7";" 549";"1.28";" -9.19";"ce qu";"2.432268e-03"
" 1";" 279";"0.36";" -8.82";"les enfants";"2.982980e-03"
" 1";" 274";"0.36";" -8.63";"de ce";"3.313787e-03"
"11";" 686";"1.60";" -8.61";"user_utilisateurice c";"3.339204e-03"
" 8";" 562";"1.42";" -8.30";"il a";"3.959091e-03"
" 1";" 263";"0.38";" -8.20";"sur la";"4.178577e-03"
"22";"1064";"2.07";" -8.15";"à l";"4.294693e-03"
"52";"2037";"2.55";" -7.82";"de la";"5.168805e-03"
"39";"1610";"2.42";" -7.63";"c était";"5.748536e-03"
" 0";" 197";"0.00";" -7.62";"un homme";"5.766143e-03"
" 0";" 194";"0.00";" -7.51";"belle époque";"6.149868e-03"
" 2";" 290";"0.69";" -7.45";"cette époque";"6.343223e-03"
" 5";" 417";"1.20";" -7.42";"et de";"6.452947e-03"
" 5";" 416";"1.20";" -7.38";"qu elle";"6.578620e-03"
" 0";" 189";"0.00";" -7.31";"ce qu il";"6.848286e-03"
" 3";" 327";"0.92";" -7.19";"plus de";"7.342876e-03"
" 2";" 282";"0.71";" -7.15";"cette dame";"7.490751e-03"
" 0";" 182";"0.00";" -7.04";"les animaux";"7.964621e-03"
"10";" 597";"1.68";" -7.00";"user_utilisateurice c est";"8.167666e-03"
" 3";" 320";"0.94";" -6.93";"que de";"8.462294e-03"
" 4";" 361";"1.11";" -6.89";"ce qui";"8.650533e-03"
" 1";" 222";"0.45";" -6.64";"l école";"9.987624e-03"
" 3";" 309";"0.97";" -6.54";"merci pour";"1.057697e-02"
" 2";" 263";"0.76";" -6.44";"vous êtes";"1.112978e-02"
" 3";" 305";"0.98";" -6.39";"qui a";"1.147095e-02"
" 0";" 162";"0.00";" -6.27";"a tout";"1.229804e-02"
" 0";" 160";"0.00";" -6.19";"la nature";"1.284751e-02"
" 0";" 159";"0.00";" -6.15";"si c";"1.313164e-02"
" 0";" 156";"0.00";" -6.04";"des enfants";"1.402344e-02"
" 1";" 206";"0.49";" -6.03";"à cette";"1.408383e-02"
" 3";" 292";"1.03";" -5.92";"d être";"1.493348e-02"
" 2";" 246";"0.81";" -5.82";"la suisse";"1.588282e-02"
" 5";" 365";"1.37";" -5.64";"d une";"1.751142e-02"
" 0";" 145";"0.00";" -5.61";"de vie";"1.786324e-02"
" 0";" 143";"0.00";" -5.53";"l élastique";"1.867049e-02"
" 0";" 143";"0.00";" -5.53";"emji_coeur_rouge emji_coeur_rouge emji_coeur_rouge emji_coeur_rouge";"1.867049e-02"
"15";" 724";"2.07";" -5.52";"ce que";"1.882729e-02"
" 1";" 192";"0.52";" -5.50";"les hommes";"1.906373e-02"
" 0";" 142";"0.00";" -5.49";"des hommes";"1.908816e-02"
"10";" 544";"1.84";" -5.40";"je me";"2.014419e-02"
" 8";" 468";"1.71";" -5.30";"que je";"2.131579e-02"
" 0";" 136";"0.00";" -5.26";"de souvenirs";"2.180544e-02"
" 2";" 229";"0.87";" -5.19";"n a pas";"2.269736e-02"
" 0";" 134";"0.00";" -5.18";"la femme";"2.279773e-02"
" 1";" 181";"0.55";" -5.08";"ça a";"2.422018e-02"
" 0";" 130";"0.00";" -5.03";"je crois";"2.492527e-02"
" 3";" 266";"1.13";" -5.00";"j aime";"2.531806e-02"
" 2";" 223";"0.90";" -4.97";"user_utilisateurice emji_visage_riant_aux_larmes";"2.575456e-02"
" 0";" 128";"0.00";" -4.95";"ce genre";"2.606531e-02"
" 2";" 220";"0.91";" -4.86";"t es";"2.743631e-02"
" 0";" 125";"0.00";" -4.84";"de l époque";"2.787798e-02"
" 2";" 219";"0.91";" -4.83";"et des";"2.802127e-02"
" 1";" 174";"0.57";" -4.81";"l homme";"2.822765e-02"
" 1";" 173";"0.58";" -4.78";"me souviens";"2.885340e-02"
