"";"banalfreq";"X.rts_a";"X.rts_i"
"sans";565;-0,5753;0,5753
"drogue";24;-0,7256;0,7256
"voir";1414;0,3389;-0,3389
"la";7202;-1,8886;1,8886
"certains";204;0,3901;-0,3901
"quand";769;-0,305;0,305
"on";3048;-0,9587;0,9587
"ce";3040;0,304;-0,304
"truc";79;1,4215;-1,4215
"penser";704;1,5526;-1,5526
"qu";2240;1,2723;-1,2723
"en";3901;0,4541;-0,4541
"40";30;1,3033;-1,3033
"plus";1796;0,3653;-0,3653
"tard";42;0,5223;-0,5223
"elles";265;1,7854;-1,7854
"même";1170;1,5994;-1,5994
"les";6142;-1,4346;1,4346
"petit";188;0,8307;-0,8307
"juste";609;-0,9684;0,9684
"pouvoir";1329;-1,913;1,913
"peut_être";159;-0,5278;0,5278
"remettre";144;0,5787;-0,5787
"le";5868;1,112;-1,112
"juger";87;0,8003;-0,8003
"coup";156;-0,5997;0,5997
"terme";175;-0,4028;0,4028
"sexiste";22;0,4192;-0,4192
"deuxième";23;0,3474;-0,3474
"slide";11;-0,9317;0,9317
"qui";3428;-0,481;0,481
"bleu";13;-0,457;0,457
"emji_homme_avec_la_paume_sur_le_visage";11;0,3269;-0,3269
"pr";23;-0,4168;0,4168
"et";6671;-0,4803;0,4803
"cet";141;1,8572;-1,8572
"échange";32;0,2638;-0,2638
"constructif";24;-1,0287;1,0287
"un";3775;-0,6717;0,6717
"plaisir";45;0,4836;-0,4836
"prendre";410;-1,1965;1,1965
"pas";6252;-0,3498;0,3498
"mal";256;0,8771;-0,8771
"une";2971;-1,7635;1,7635
"analyse";56;-0,527;0,527
"correct";39;-0,615;0,615
"peu";420;0,3346;-0,3346
"moins";290;-0,3863;0,3863
"bravo";133;1,7773;-1,7773
"y";1381;0,8352;-0,8352
"dans";1902;-1,6661;1,6661
"traduction";12;1,2328;-1,2328
"super";68;0,5361;-0,5361
"ego";30;-0,2425;0,2425
"au";1137;-1,9081;1,9081
"correction";10;0,7731;-0,7731
"croire";322;0,7592;-0,7592
"religieux";22;1,2467;-1,2467
"historien";10;-0,201;0,201
"ne";5473;0,5618;-0,5618
"s";999;0,3871;-0,3871
"l";4266;0,3853;-0,3853
"histoire";244;-0,9661;0,9661
"ptn";13;0,3667;-0,3667
"gêner";37;0,5407;-0,5407
"t";697;1,6249;-1,6249
"fier";39;1,2368;-1,2368
"clairement";125;-1,6122;1,6122
"apprendre";128;0,379;-0,379
"relire";67;-1,2705;1,2705
"avant";400;0,8087;-0,8087
"publier";51;-1,3797;1,3797
"enfin";92;0,7814;-0,7814
"autres";426;-0,9676;0,9676
"explication";44;-0,439;0,439
"oui";684;0,5729;-0,5729
"déjà";364;-0,3638;0,3638
"ces";651;-1,2532;1,2532
"choisir";114;-0,3164;0,3164
"complexe";46;-0,294;0,294
"voyage";15;-0,6696;0,6696
"compte";261;-0,8298;0,8298
"recommander";13;-0,457;0,457
"cela";441;0,5785;-0,5785
"goût";26;0,3146;-0,3146
"du";1784;-0,3852;0,3852
"hasard";39;0,5665;-0,5665
"découverte";16;-0,2819;0,2819
"regard";25;0,3768;-0,3768
"ses";324;-0,5177;0,5177
"réflexion";87;1,5053;-1,5053
"alors";589;-1,9458;1,9458
"gros";106;-0,3767;0,3767
"besoin";191;-1,1827;1,1827
"reconnaître";46;0,3082;-0,3082
"suffire";95;-1,9279;1,9279
"taper";33;0,4881;-0,4881
"facebook";10;-0,201;0,201
"savoir";787;1,959;-1,959
"devenir";196;1,3652;-1,3652
"mon";524;-0,8376;0,8376
"véritable";17;0,6939;-0,6939
"gars";56;-0,296;0,296
"écrire";365;-1,0037;1,0037
"là";410;-0,5155;0,5155
"parce_que";310;-0,7475;0,7475
"vraiment";397;-0,7397;0,7397
"triste";60;-0,3544;0,3544
"ok";98;0,7098;-0,7098
"ca";166;-0,3658;0,3658
"mais";2470;0,379;-0,379
"ya";27;0,4055;-0,4055
"tous";460;-0,979;0,979
"monde";485;-0,5001;0,5001
"commentaire";790;-0,4325;0,4325
"car";357;1,8243;-1,8243
"plusieurs";91;0,4754;-0,4754
"essayer";168;-0,5706;0,5706
"effort";52;-0,4535;0,4535
"hyper";32;-0,4983;0,4983
"différence";111;0,7719;-0,7719
"drôle";41;0,7798;-0,7798
"pensée";57;1,9762;-1,9762
"culturel";25;-0,8234;0,8234
"si";1527;-0,8842;0,8842
"qqn";26;-0,6553;0,6553
"faux";303;-1,4288;1,4288
"important";104;-0,7027;0,7027
"préciser";31;-0,2898;0,2898
"personne";795;-1,6526;1,6526
"aux";445;-1,3183;1,3183
"cheveu";22;1,2467;-1,2467
"presque";47;0,8537;-0,8537
"oublier";90;-0,6604;0,6604
"mr";16;0,5407;-0,5407
"projet";14;-0,5597;0,5597
"non";825;0,3632;-0,3632
"conclusion";34;-0,3151;0,3151
"chef";34;0,5907;-0,5907
"oeuvre";21;0,3173;-0,3173
"seulement";101;0,4639;-0,4639
"toute";181;-0,3076;0,3076
"façon";138;0,8398;-0,8398
"politiquement";23;-1,7361;1,7361
"diviser";24;0,4497;-0,4497
"habiter";27;0,4055;-0,4055
"différents";35;0,3625;-0,3625
"accorder";17;-1,3439;1,3439
"te";431;1,276;-1,276
"coucher";17;0,6939;-0,6939
"fonctionner";45;-0,8579;0,8579
"mieux";296;1,0788;-1,0788
"3";109;-0,5788;0,5788
"langue";205;-0,3401;0,3401
"sérieux";112;-0,5957;0,5957
"beaucoup";358;1,1619;-1,1619
"page";52;-1,2063;1,2063
"svp";100;0,7291;-0,7291
"après";267;-0,286;0,286
"médiocrité";10;-1,3419;1,3419
"cher";45;1,5819;-1,5819
"inclure";14;-0,5597;0,5597
"posts";10;-0,201;0,201
"lien";57;-0,3348;0,3348
"version";10;0,7731;-0,7731
"long";95;-0,534;0,534
"celle_ci";12;0,2473;-0,2473
"oeil";69;0,3779;-0,3779
"emji_drapeau_suisse";43;-0,2727;0,2727
"moment";128;-0,4327;0,4327
"rester";288;-1,8518;1,8518
"ma";237;0,8731;-0,8731
"manquer";137;-0,3298;0,3298
"romand";10;0,4313;-0,4313
"regarder";246;1,8202;-1,8202
"marrant";44;1,4265;-1,4265
"ceux";264;-1,5993;1,5993
"crier";27;-0,3444;0,3444
"scandale";26;-0,9258;0,9258
"direct";30;0,5362;-0,5362
"tour";17;-0,3535;0,3535
"chien";11;0,9953;-0,9953
"mauvais";142;0,9996;-0,9996
"eux";186;-0,9569;0,9569
"leur";637;-0,9623;0,9623
"sembler";154;0,984;-0,984
"aberrant";12;-0,653;0,653
"selon";68;-0,4803;0,4803
"aucune";192;-1,6601;1,6601
"logique";81;-0,3852;0,3852
"bêtement";11;-0,2767;0,2767
"suivant";15;0,4039;-0,4039
"pauvre";77;1,6241;-1,6241
"demander";312;0,4026;-0,4026
"quel";253;1,1983;-1,1983
"jour";143;-0,8044;0,8044
"mdrrr";22;1,2467;-1,2467
"hein";82;0,4458;-0,4458
"quoi";577;-1,6164;1,6164
"comprendre";836;1,6807;-1,6807
"grave";91;0,8417;-0,8417
"éclater";10;-0,201;0,201
"ton";442;-0,8409;0,8409
"signe";19;0,7223;-0,7223
"hauteur";18;0,8618;-0,8618
"tel";48;-0,3827;0,3827
"voix";70;0,3392;-0,3392
"perdre";107;-0,6035;0,6035
"connerie";65;0,3414;-0,3414
"présenter";73;0,3204;-0,3204
"insta";48;0,5953;-0,5953
"emji_se_rouler_par_terre_de_rire";137;0,404;-0,404
"bah";129;-0,3169;0,3169
"tort";40;1,1136;-1,1136
"quelle";199;1,601;-1,601
"profondeur";12;0,4704;-0,4704
"diversité";16;0,5407;-0,5407
"attitude";11;0,9953;-0,9953
"refaire";31;1,4791;-1,4791
"auprès_de";11;0,3269;-0,3269
"mes";163;1,004;-1,004
"e";57;-1,9926;1,9926
"dernier";100;0,7291;-0,7291
"meilleur";91;-0,3007;0,3007
"avis";221;-1,3383;1,3383
"25";31;-0,2898;0,2898
"eau";32;0,3952;-0,3952
