emji_visage_riant_aux_larmes;689;6845;166;1626
aller;83;481;433;3675
emji_visage_souriant_avec_yeux_en_forme_de_coeur;2603;98;8;229
emji_coeur_rouge;2547;72;35;457
suisse;138;359;394;3180
voir;108;385;337;3451
emji_applaudissements;1339;75;58;419
parler;79;225;307;2119
emji_se_rouler_par_terre_de_rire;98;1089;32;252
gens;36;125;193;2078
monde;61;95;225;1888
femme;124;77;90;1819
emji_visage_qui_pleure;513;122;86;800
enfant;78;84;232;1691
beau;756;155;45;981
époque;288;260;29;1290
prendre;24;175;152;1511
pays;33;44;434;1264
vie;141;97;59;1530
penser;50;207;93;1489
comprendre;79;134;117;1485
homme;114;72;72;1439
temps;73;121;80;1451
aimer;207;471;57;890
chose;37;107;117;1437
passer;37;135;159;1361
mettre;20;119;145;1371
petit;138;233;64;1171
année;91;179;68;1271
vrai;122;161;134;1165
emji_feu;855;42;33;170
emji_mains_levées;900;42;21;179
grand;138;120;79;1188
vraiment;94;115;86;1216
jour;42;109;83;1133
emji_visage_souriant_avec_une_goutte_de_sueur;74;850;21;282
venir;25;151;122;1056
trouver;32;118;75;1123
emji_visage_souriant_avec_coeurs;722;22;1;99
tellement;364;169;49;711
donner;25;58;98;1101
vivre;41;63;80;1086
rester;30;77;98;1068
payer;5;21;68;1099
problème;6;46;81;1051
français;41;246;31;822
connaître;32;164;80;926
emji_mains_en_prière;664;23;13;199
changer;40;91;46;973
souvenir;553;121;20;395
france;12;171;50;865
fois;23;132;102;835
commentaire;23;112;43;936
seul;12;70;128;890
arrêter;5;39;213;818
demander;8;63;142;847
droit;5;18;354;583
question;9;46;64;896
emji_visage_faisant_un_clin_d_oeil;54;267;44;601
devenir;32;57;51;858
travail;22;29;49;839
emji_visage_avec_bouche_ouverte;232;123;32;283
raison;110;40;77;729
cas;8;51;88;792
jeune;60;68;19;770
sentir;21;67;44;784
emji_visage_qui_pleure_à_chaudes_larmes;61;392;5;66
police;16;6;274;500
exister;24;69;70;679
accord;43;30;197;562
humain;28;9;90;679
arriver;19;64;51;680
utiliser;0;144;96;549
laisser;10;25;78;692
besoin;11;39;61;678
état;4;11;285;447
adorer;387;144;10;250
animal;51;14;15;632
regarder;29;77;34;610
guerre;4;12;488;190
ca;16;86;47;558
coup;7;92;78;564
magnifique;583;14;5;145
argent;2;15;47;643
travailler;8;27;14;640
partir;8;44;72;590
