"";"X.rts_a";"X.rts_i"
"venir";1,08;0,87
"on";11,27;9,14
"ça";10,24;9,86
"emji_visage_avec_un_sourire_malin";0,38;0,48
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0,94;0,3
"emji_visage_riant_aux_larmes";83,62;114,94
"aller";2,88;5,29
"danser";0,19;0,09
"non";2,34;3,44
"emji_visage_grimaçant";0,49;0,75
"tu";3,85;4,69
"manger";0,85;0,36
"quand";2,61;2,18
"emji_se_rouler_par_terre_de_rire";13,33;15,51
"l";14,41;10,07
"c";19,62;18,76
"être";40,82;40,87
"de";26,82;26,05
"la";22,61;19,48
"et";16,88;15,9
"eau";0,8;0,66
"reconnaître";0,31;0,15
"emji_visage_souriant_avec_une_goutte_de_sueur";6,43;7,29
"genial";0,08;0,15
"y";5,06;4,6
"avoir";26,91;23,36
"idée";0,34;0,69
"quelle";0,97;1,2
"super";0,61;0,75
"se";3,92;2,93
"sentir";0,44;0,51
"tout";3,65;3,97
"à";12,27;11,62
"coup";0,66;0,6
"je";14,24;11,38
"comprendre";0,94;0,93
"mieux";0,93;1,58
"où";1,09;0,6
"ton";0,71;0,99
"si";2,7;3,79
"spécial";0,12;0,06
"emji_visage_avec_lunettes_de_soleil";0,11;0,06
"mon";2,82;2,15
"dieu";0,41;0,3
"pas";15,45;17,93
"possible";0,11;0,12
"il";9,54;8,75
"grand";0,91;0,6
"temps";0,91;0,75
"le";22,07;19,06
"dès";0,1;0,09
"école";0,45;0,21
"pleurer";0,29;0,54
"comme";3,58;3,26
"rire";1,16;1,31
"mais";7,24;8,07
"journaliste";0,22;0,09
"suisse";2,42;3,08
"rts";0,18;0,21
"honte";0,08;0,21
"emji_visage_qui_hurle_de_peur";1,47;2,9
"t";2,03;3,41
"en";14,97;12,76
"plus";5,17;5,5
"ne";9,02;9,53
"ce";5,1;5,11
"que";9,32;9,74
"vous";4,3;6,21
"dire";6,19;4,84
"monsieur";0,52;0,12
"laisser";0,16;0,21
"nous";2,21;2,09
"chanter";0,17;0,09
"beaucoup";0,9;0,57
"purée";0,36;0,33
"ils";3,74;4,72
"pouvoir";2,25;2,78
"au";4,61;4,27
"les";19,4;18,32
"pour";7,78;9,62
"emji_visage_faisant_un_clin_d_oeil";1,98;1,43
"regarder";0,52;0,69
"aussi";3,96;2,63
"emji_visage_avec_les_sourcils_relevés";0,22;0,48
"elle";3,54;1,4
"faire";7,44;9,47
"raison";0,24;0,36
"emji_visage_souriant_aux_yeux_rieurs";1,84;1,64
"m";1,8;1,37
"attendre";0,33;0,54
"te";1,02;1,11
"voir";2,7;2,51
"plupart";0,1;0,12
"d";6;6,75
"entre";0,52;0,48
"eux";0,28;0,6
"maintenant";1,35;0,54
"parent";0,42;0,21
"j";12,7;7,47
"avouer";0,17;0,18
"meuf";0,25;0,09
"vidéo";0,77;0,21
"moi";4,75;2,54
"rajeunir";0,11;0
"archive";0,3;0
"un";11,85;11,47
"reportage";0,38;0,18
"vouloir";1,59;1,52
"peut_être";0,27;0,33
"tecktonik";0,29;0
"dans";6,21;5,32
"bien";4,44;4,45
"déjà";1,04;1,31
"air";0,45;0,24
"con";0,24;0,09
"mettre";0,74;1,2
"là";1,46;1,31
"emji_visage_avec_bouche_ouverte";1,15;1,17
"emji_visage_avec_un_doigt_sur_la_bouche";0,1;0,18
"autre";0,78;1,05
"vie";0,7;0,63
"ahahah";0,08;0,09
"trop";1,98;1,76
"chaud";0,85;0,9
"imaginer";0,26;0,3
"qui";6,56;6,78
"revoir";0,2;0,06
"mtn";0,1;0,03
"sur";2,56;3,41
"compte";0,14;0,27
"des";9,35;9,26
"jeunesse";0,15;0,09
"heureusement";0,62;0,54
"cette";1,81;1,31
"période";0,16;0,09
"horreur";0,51;0,63
"apprendre";0,26;0,03
"aux";1,1;1,2
"beau";1,23;0,66
"oh";0,73;0,45
"putain";0,29;0,33
"merde";0,24;0,33
"punaise";0,17;0,06
"adorer";1,17;0,36
"ou";2,77;2,96
"tellement";1,16;1,2
"gros";0,55;0,51
"s";2,46;2,6
"bon";2,4;2,87
"enfant";0,61;0,54
"même";3,59;2,78
"délire";0,1;0,21
"60";0,24;0,12
"an";1,88;1,34
"connaître";1,25;0,69
"avec";5,09;4,45
"mes";1,02;0,57
"papa";0,19;0,12
"40";0,25;0,15
"maison";0,56;0,39
"rester";0,55;0,48
"gamin";0,24;0
"ta";0,59;0,66
"copain";0,19;0,12
"ville";0,09;0,15
"vacance";0,24;0,12
"une";8,41;6,81
"petit";1,88;0,93
"piscine";0,29;0,27
"comment";0,82;0,63
"peu";1,24;1,11
"souvenir";1,08;0,15
"année";1,41;0,69
"80";0,36;0,15
"ahaha";0,25;0,12
"oui";2,43;2,63
"fin";0,56;0,21
"équipe";0,08;0,18
"me";3,11;2,63
"régaler";0,16;0,15
"rouler";0,17;0,03
"neige";0,7;0,57
"excellent";0,5;0,3
"côté";0,51;0,36
"époque";2,23;0,42
"ciao";0,12;0
"vert";0,13;0,09
"monter";0,1;0,12
"h";0,14;0,03
"sans";1,02;1,55
"naître";0,47;0,18
"boy";0,12;0
"carrément";0,22;0,27
"huile";0,2;0,03
"premier";0,68;0,33
"flic";0,08;0,09
"drôle";0,79;0,78
"du";5,78;6,39
"toujours";1,91;1,31
"plaisir";0,2;0,24
"prendre";1,22;1,17
"emji_visage_avec_masque";0,1;0,12
"emji_visage_très_souriant_aux_yeux_rieurs";0,36;0,18
"hahaha";0,35;0,15
"emji_visage_stupéfait";0,1;0,06
"dessus";0,17;0,09
"emji_visage_en_pleine_réflexion";0,49;0,93
"emji_visage_avec_une_main_sur_la_bouche";0,81;0,75
"génie";0,27;0,57
"son";1,32;0,84
"truc";0,44;0,15
"devoir";1,19;1,7
"emji_visage_souriant";0,42;0,12
"face";0,15;0,09
"falloir";1,5;2,48
"arrêter";0,25;0,33
"partir";0,3;0,33
"sa";1,25;0,99
"bête";0,08;0,06
"couper";0,38;0,15
"vélo";0,07;0,09
"qu";5,21;5,53
"sérieux";0,24;0,15
"emji_visage_souriant_avec_coeurs";0,19;0,06
"courir";0,11;0,06
"ben";0,59;0,51
"voilà";0,44;0,72
"1er";0,17;0,27
"oups";0,07;0,3
"désolé";0,16;0,42
"doute";0,06;0,15
"toute";0,59;0,51
"pluie";0,23;0,18
"notre";0,52;0,54
"cerveau";0,09;0,15
"journée";0,29;0,51
"toi";1,52;2,48
"jean";0,52;0,6
"michel";0,1;0,15
"fondue";0,43;0,75
"haut";0,32;0,33
"montagne";0,08;0,06
"après";1,59;1,11
"quelques";0,21;0,21
"descente";0,09;0,12
"ski";0,22;0,06
"louper";0,09;0,09
"emji_visage_roulant_des_yeux";0,82;2,9
"svp";0,2;0,27
"grave";0,17;0,03
"sourire";0,06;0,09
"alors";1,26;1,91
"froid";0,89;0,99
"dos";0,17;0,15
"fribourg";0,15;0,12
"pis";0,06;0,15
"ailleurs";0,36;0,27
"plein";0,33;0,69
"oreille";0,1;0
"emji_visage_qui_vomit";0,5;0,45
"tête";1,06;0,51
"aimer";4,71;1,46
"emji_tête_de_fou";0,5;0,93
"ma";2,05;1,05
"maman";0,24;0,12
"15";0,1;0,12
"mec";0,6;0,78
"penser";1,5;1,05
"mdrrrr";0,11;0
"très";1,85;1,08
"parler";1,73;1,2
"blanc";0,68;0,33
"12";0,15;0,06
"tuer";0,15;0,24
"xd";0,11;0,12
"marier";0,36;0,06
"vendredi";0,15;0,12
"13";0,13;0,06
"20";0,26;0,42
"exactement";0,29;0,09
"croire";1,04;1,31
"rien";1,4;2,24
"point";0,25;0,18
"juste";0,87;1,43
"chiffre";0,05;0,12
"emji_feu";0,45;0,27
"emji_drapeau_suisse";0,32;0,15
"mal";0,73;1,43
"celle";0,23;0,33
"logique";0,03;0,18
"meilleur";0,52;0,42
"réponse";0,14;0,21
"vieux";1,01;0,39
"daron";0,21;0
"voix";0,34;0,06
"répondre";0,15;0,15
"vite";0,37;0,09
"clairement";0,14;0,09
"cheveu";0,58;0,24
"bleu";0,2;0,06
"lui";1,1;0,75
"quel";0,77;0,87
"genre";0,31;0,45
"battre";0,18;0,06
"couille";0,18;0,06
"partout";0,32;0,12
"2";0,77;1,23
"doigt";0,15;0,09
"patate";0,09;0,06
"vrai";1,14;1,08
"banane";0,11;0,06
"par";2,01;1,88
"contre";0,51;0,48
"mois";0,14;0,12
"oublier";0,49;0,36
"wsh";0,09;0,03
"emji_visage_qui_pleure_à_chaudes_larmes";3,73;8,43
"14";0,11;0,18
"plutôt";0,49;0,45
"mdr";0,96;1,14
"père";0,56;0,06
"pourquoi";0,96;1,34
"sortir";0,36;0,51
"chaque";0,62;0,51
"fois";1;0,72
"jouer";0,63;0,18
"lol";0,4;0,48
"hahahaha";0,07;0,18
"gars";0,42;0,69
"merci";1,16;1,55
"emji_visage_envoyant_un_bisou";0,22;0,3
"fou";0,44;0,21
"perso";0,47;0,3
"bonheur";0,14;0,12
"pareil";0,94;0,54
"2006";0,09;0
"bernard";0,07;0,06
"what";0,05;0,15
"interview";0,09;0,03
"genève";0,59;0,75
"emji_visage_étourdi";0,16;0,27
"emji_visage_qui_rougit";0,5;0,78
"aujourd_hui";1,57;0,03
"x";0,1;0,09
"cul";0,51;0,36
"enlever";0,14;0,15
"gosse";0,1;0,03
"sous";0,44;0,78
"d_abord";0,07;0,06
"lac";0,78;0,51
"grand_mère";0,15;0,03
"5";0,29;0,57
"fils";0,28;0,27
"besoin";0,28;0,24
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";0,56;0,75
"jeter";0,06;0,09
"cela";0,65;0,48
"jamais";1,43;1,23
"flotte";0,1;0
"savoir";2,19;2,15
"3";0,45;0,66
"mode";0,45;0,27
"choquer";0,17;0,09
"importer";0,24;0,48
"quoi";1,59;2,63
"liquide";0,1;0
"avant";1,05;0,84
"pendant";0,25;0,15
"emji_singe_ne_rien_voir";0,58;0,99
"linge";0,1;0,12
"passer";0,87;1,14
"deux";0,68;0,48
"boule";0,07;0,21
"droit";0,13;0,09
"eh";0,16;0,12
"emji_visage_qui_pleure";0,86;2,18
"fille";0,63;0,24
"gant";0,65;0,12
"brun";0,17;0,03
"classe";0,27;0,24
"ouf";0,15;0,09
"chose";0,8;0,54
"femme";0,64;0,27
"0";0,15;0,24
"jurer";0,37;0,6
"jeune";0,54;0,24
"marcher";0,11;0,36
"fort";0,3;0,63
"moins";1,06;1,11
"ahah";0,22;0,18
"film";0,23;0,18
"violet";0,09;0,06
"ah";1,23;1,61
"famille";0,25;0,18
"confirmer";0,1;0,12
"emji_yeux";0,41;1,11
"mêmes";0,28;0,18
"emji_visage_nauséeux";0,73;0,03
"évidemment";0,1;0,12
"car";0,58;0,66
"homme";0,52;0,45
"ca";0,54;0,78
"chéri";0,1;0,15
"poser";0,18;0,15
"question";0,32;0,36
"glace";0,13;0,09
"roi";0,17;0,21
"cousin";0,31;0,15
"inventer";0,35;0,21
"pain";0,16;0,09
"chocolat";0,13;0,27
"lausanne";0,18;0,36
"z";0,12;0,24
"emji_visage_blasé";0,11;0,06
"jaloux";0,1;0,24
"charles";0,1;0,06
"team";0,31;0,27
"tenue";0,09;0,03
"mince";0,09;0,15
