"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"2";"***";"";""
"**";"classe";"1";"**";"";""
"****";"21730";"51332";"42.33";"****";""
"2603";"3180";" 81.86";"2169.192";"suisse";" 0.000000e+00"
"1000";"1099";" 90.99";"1089.252";"payer";"7.159732e-239"
"1055";"1264";" 83.47";" 898.152";"pays";"2.475191e-197"
" 559";" 621";" 90.02";" 585.485";"riche";"2.404678e-129"
" 393";" 402";" 97.76";" 509.928";"impôt";"6.573925e-113"
" 549";" 643";" 85.38";" 494.313";"argent";"1.641722e-109"
" 386";" 405";" 95.31";" 469.305";"salaire";"4.539536e-104"
" 372";" 387";" 96.12";" 462.194";"entreprise";"1.600824e-102"
" 426";" 490";" 86.94";" 403.231";"politique";" 1.090545e-89"
" 386";" 431";" 89.56";" 397.112";"système";" 2.341616e-88"
" 303";" 310";" 97.74";" 392.246";"assurance";" 2.684205e-87"
" 642";" 865";" 74.22";" 366.463";"france";" 1.102316e-81"
" 279";" 293";" 95.22";" 337.668";"canton";" 2.055093e-75"
" 334";" 377";" 88.59";" 332.955";"prix";" 2.184005e-74"
" 349";" 401";" 87.03";" 330.799";"population";" 6.438869e-74"
" 316";" 362";" 87.29";" 301.885";"droite";" 1.279938e-67"
" 256";" 272";" 94.12";" 300.390";"augmenter";" 2.708298e-67"
" 366";" 447";" 81.88";" 288.886";"état";" 8.693946e-65"
" 232";" 247";" 93.93";" 270.645";"frontalier";" 8.209454e-61"
" 196";" 197";" 99.49";" 264.678";"taxe";" 1.639992e-59"
" 225";" 239";" 94.14";" 264.026";"caisse";" 2.274514e-59"
" 334";" 410";" 81.46";" 259.243";"gauche";" 2.508929e-58"
" 582";" 839";" 69.37";" 255.388";"travail";" 1.737315e-57"
" 193";" 197";" 97.97";" 250.763";"économie";" 1.770524e-56"
" 305";" 371";" 82.21";" 243.437";"public";" 7.004696e-55"
" 214";" 231";" 92.64";" 240.574";"voter";" 2.948883e-54"
" 231";" 258";" 89.53";" 236.666";"étranger";" 2.097507e-53"
" 688";"1051";" 65.46";" 235.128";"problème";" 4.540892e-53"
" 339";" 431";" 78.65";" 234.896";"genève";" 5.102108e-53"
" 186";" 193";" 96.37";" 231.757";"taxer";" 2.467471e-52"
" 208";" 231";" 90.04";" 216.373";"sécurité";" 5.590819e-49"
" 264";" 320";" 82.50";" 212.822";"loi";" 3.328574e-48"
" 167";" 172";" 97.09";" 211.993";"coût";" 5.048515e-48"
" 274";" 337";" 81.31";" 211.068";"service";" 8.033482e-48"
" 171";" 182";" 93.96";" 199.393";"fortune";" 2.833866e-45"
" 260";" 321";" 81.00";" 197.812";"gagner";" 6.271051e-45"
" 348";" 469";" 74.20";" 196.910";"permettre";" 9.864739e-45"
" 417";" 590";" 70.68";" 196.446";"partir";" 1.245935e-44"
" 355";" 485";" 73.20";" 191.053";"cher";" 1.872904e-43"
" 218";" 257";" 84.82";" 191.045";"solution";" 1.880260e-43"
" 207";" 241";" 85.89";" 188.204";"risque";" 7.840481e-43"
" 352";" 483";" 72.88";" 186.357";"social";" 1.984298e-42"
" 209";" 245";" 85.31";" 186.229";"europe";" 2.115584e-42"
" 154";" 162";" 95.06";" 185.093";"milliard";" 3.745353e-42"
" 279";" 360";" 77.50";" 183.672";"santé";" 7.650399e-42"
" 155";" 164";" 94.51";" 183.500";"économique";" 8.341880e-42"
" 155";" 165";" 93.94";" 180.591";"citoyen";" 3.599905e-41"
" 151";" 160";" 94.38";" 178.070";"prime";" 1.278676e-40"
" 143";" 149";" 95.97";" 176.131";"climatique";" 3.389964e-40"
" 166";" 183";" 90.71";" 176.074";"produire";" 3.488550e-40"
" 228";" 282";" 80.85";" 172.339";"maladie";" 2.282523e-39"
" 210";" 253";" 83.00";" 172.285";"baisser";" 2.345451e-39"
" 166";" 185";" 89.73";" 170.862";"produit";" 4.796213e-39"
" 166";" 185";" 89.73";" 170.862";"moyenne";" 4.796213e-39"
" 162";" 179";" 90.50";" 170.737";"franc";" 5.106588e-39"
" 141";" 148";" 95.27";" 170.391";"banque";" 6.078464e-39"
" 151";" 163";" 92.64";" 169.512";"emploi";" 9.457741e-39"
" 403";" 589";" 68.42";" 166.123";"place";" 5.199087e-38"
" 168";" 191";" 87.96";" 163.482";"ultra";" 1.963063e-37"
" 144";" 156";" 92.31";" 160.087";"mesure";" 1.083241e-36"
" 126";" 130";" 96.92";" 159.103";"héritage";" 1.776496e-36"
" 145";" 158";" 91.77";" 158.689";"réduire";" 2.188411e-36"
" 285";" 386";" 73.83";" 158.101";"moyen";" 2.941168e-36"
" 251";" 328";" 76.52";" 158.090";"voiture";" 2.957256e-36"
" 127";" 133";" 95.49";" 154.343";"transport";" 1.949164e-35"
" 129";" 136";" 94.85";" 154.080";"loyer";" 2.224193e-35"
" 193";" 235";" 82.13";" 153.152";"extrême";" 3.549126e-35"
" 132";" 141";" 93.62";" 152.330";"fédéral";" 5.366291e-35"
" 121";" 125";" 96.80";" 152.280";"augmentation";" 5.503228e-35"
" 144";" 160";" 90.00";" 149.390";"marché";" 2.357123e-34"
" 126";" 134";" 94.03";" 147.088";"financer";" 7.509009e-34"
" 196";" 243";" 80.66";" 146.911";"peuple";" 8.208270e-34"
" 153";" 175";" 87.43";" 146.285";"chiffre";" 1.124920e-33"
" 269";" 367";" 73.30";" 145.182";"servir";" 1.959699e-33"
" 176";" 213";" 82.63";" 142.273";"armée";" 8.475238e-33"
" 345";" 506";" 68.18";" 139.880";"exemple";" 2.828435e-32"
" 124";" 136";" 91.18";" 133.264";"projet";" 7.915600e-31"
" 144";" 167";" 86.23";" 132.240";"mondial";" 1.325815e-30"
" 104";" 107";" 97.20";" 132.209";"chf";" 1.346806e-30"
" 165";" 201";" 82.09";" 130.656";"fonctionner";" 2.944754e-30"
" 173";" 214";" 80.84";" 130.540";"initiative";" 3.121183e-30"
" 133";" 151";" 88.08";" 129.832";"européen";" 4.460184e-30"
" 111";" 118";" 94.07";" 129.675";"taux";" 4.827783e-30"
"  97";"  98";" 98.98";" 129.066";"fiscal";" 6.561484e-30"
" 136";" 156";" 87.18";" 128.918";"udc";" 7.068404e-30"
" 410";" 640";" 64.06";" 125.358";"travailler";" 4.248742e-29"
" 117";" 130";" 90.00";" 121.308";"américain";" 3.271938e-28"
" 111";" 121";" 91.74";" 121.260";"sud";" 3.352084e-28"
" 112";" 123";" 91.06";" 119.906";"vol";" 6.633977e-28"
" 104";" 112";" 92.86";" 117.374";"climat";" 2.377069e-27"
" 199";" 265";" 75.09";" 117.120";"effet";" 2.701792e-27"
" 237";" 331";" 71.60";" 116.909";"mois";" 3.005816e-27"
" 105";" 114";" 92.11";" 115.945";"zone";" 4.885618e-27"
" 101";" 109";" 92.66";" 113.336";"avion";" 1.821019e-26"
" 105";" 115";" 91.30";" 113.231";"frais";" 1.920649e-26"
"  96";" 102";" 94.12";" 112.273";"frontière";" 3.114047e-26"
" 131";" 157";" 83.44";" 109.009";"énergie";" 1.615613e-25"
" 206";" 283";" 72.79";" 108.149";"étude";" 2.493473e-25"
" 105";" 117";" 89.74";" 107.978";"user";" 2.717339e-25"
" 165";" 214";" 77.10";" 106.426";"route";" 5.948180e-25"
" 178";" 236";" 75.42";" 106.351";"majorité";" 6.177261e-25"
" 127";" 152";" 83.55";" 106.109";"imposer";" 6.980195e-25"
"  82";"  84";" 97.62";" 105.349";"logement";" 1.024334e-24"
"  95";" 103";" 92.23";" 105.274";"milliardaire";" 1.063888e-24"
"  95";" 103";" 92.23";" 105.274";"budget";" 1.063888e-24"
"  99";" 109";" 90.83";" 105.223";"local";" 1.091330e-24"
" 132";" 161";" 81.99";" 104.037";"coûter";" 1.985583e-24"
" 123";" 147";" 83.67";" 103.211";"gouvernement";" 3.013394e-24"
" 103";" 116";" 88.79";" 102.804";"accès";" 3.699965e-24"
" 122";" 146";" 83.56";" 101.953";"obligatoire";" 5.686196e-24"
" 133";" 164";" 81.10";" 101.278";"changement";" 7.993684e-24"
"  92";" 100";" 92.00";" 101.249";"afrique";" 8.111408e-24"
" 250";" 367";" 68.12";" 100.693";"ville";" 1.073901e-23"
"  95";" 105";" 90.48";"  99.898";"militaire";" 1.604457e-23"
"  80";"  83";" 96.39";"  99.499";"continent";" 1.962224e-23"
" 102";" 116";" 87.93";"  99.024";"vote";" 2.494078e-23"
" 119";" 143";" 83.22";"  98.189";"employé";" 3.803823e-23"
" 232";" 337";" 68.84";"  97.661";"acheter";" 4.965343e-23"
" 345";" 547";" 63.07";"  97.412";"etc";" 5.630346e-23"
" 152";" 198";" 76.77";"  96.549";"minimum";" 8.704374e-23"
" 757";"1371";" 55.22";"  95.767";"mettre";" 1.292075e-22"
"  77";"  80";" 96.25";"  95.417";"cash";" 1.542165e-22"
" 168";" 226";" 74.34";"  95.242";"train";" 1.684638e-22"
"  97";" 110";" 88.18";"  94.927";"richesse";" 1.975300e-22"
"  95";" 107";" 88.79";"  94.778";"patron";" 2.129458e-22"
" 141";" 181";" 77.90";"  94.131";"représenter";" 2.952732e-22"
" 821";"1511";" 54.33";"  91.873";"prendre";" 9.242902e-22"
" 272";" 416";" 65.38";"  91.296";"faux";" 1.236924e-21"
" 167";" 227";" 73.57";"  91.129";"eau";" 1.345924e-21"
"  93";" 106";" 87.74";"  89.697";"médecin";" 2.775325e-21"
"  89";" 100";" 89.00";"  89.387";"plastique";" 3.246128e-21"
"  89";" 100";" 89.00";"  89.387";"vaud";" 3.246128e-21"
"  83";"  91";" 91.21";"  89.209";"immigration";" 3.552475e-21"
"  72";"  75";" 96.00";"  88.617";"achat";" 4.790899e-21"
"  97";" 113";" 85.84";"  87.817";"directement";" 7.180254e-21"
" 131";" 168";" 77.98";"  87.720";"privé";" 7.540098e-21"
"  98";" 115";" 85.22";"  86.832";"polluer";" 1.181305e-20"
" 139";" 182";" 76.37";"  86.701";"vendre";" 1.262435e-20"
"  79";"  86";" 91.86";"  86.562";"socialiste";" 1.354244e-20"
" 100";" 119";" 84.03";"  84.967";"accident";" 3.033756e-20"
" 108";" 132";" 81.82";"  84.522";"commun";" 3.798750e-20"
" 151";" 204";" 74.02";"  84.242";"résultat";" 4.378562e-20"
"  66";"  68";" 97.06";"  83.537";"confédération";" 6.254945e-20"
"  86";"  98";" 87.76";"  82.985";"contrôle";" 8.267491e-20"
"  72";"  77";" 93.51";"  82.726";"chômage";" 9.426429e-20"
"  91";" 106";" 85.85";"  82.397";"statistique";" 1.113070e-19"
" 111";" 138";" 80.43";"  82.291";"client";" 1.174701e-19"
"  69";"  73";" 94.52";"  81.561";"migros";" 1.699359e-19"
" 263";" 409";" 64.30";"  81.525";"aider";" 1.730850e-19"
" 152";" 208";" 73.08";"  80.865";"offrir";" 2.416551e-19"
"  84";"  96";" 87.50";"  80.378";"unir";" 3.092432e-19"
"  98";" 118";" 83.05";"  80.327";"gratuit";" 3.172808e-19"
"  96";" 115";" 83.48";"  79.932";"unique";" 3.874513e-19"
"  72";"  78";" 92.31";"  79.921";"travailleur";" 3.895856e-19"
"  72";"  78";" 92.31";"  79.921";"poche";" 3.895856e-19"
